College Name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Total_Cost,Acceptance_Rate,Faculty_Quality_Index,Student_Success_Index,Region,College_Size,Funding_Type,Academic_Standing
Abilene Christian University,Yes,1660.0,1232,721,23.0,52,2885,537,7440.0,3300.0,450,2200,70.0,78.0,18.1,12,7041.0,150,13390,0.742168675,63.8,43.61398732,South,Medium,Public,Low
Adelphi University,Yes,2186.0,1924,512,16.0,29,2683,1227,12280.0,6450.0,750,1500,29.0,30.0,12.2,16,10527.0,56,20980,2.5,26.8,33.44957253,Northeast,Medium,Public,Low
Adrian College,Yes,-500.0,1097,336,22.0,50,1036,99,11250.0,3750.0,400,1165,53.0,66.0,12.9,30,8735.0,54,16565,0.768207283,52.0,41.35988511,Midwest,Small,Religious,Low
Agnes Scott College,Yes,417.0,349,137,60.0,89,510,63,12960.0,5450.0,450,875,92.0,97.0,7.7,37,19016.0,59,19735,0.836930456,87.6,35.39260466,Midwest,Small,Public,Low
Alaska Pacific University,Yes,193.0,146,55,16.0,44,249,869,7560.0,4200.0,800,1500,75.0,72.0,11.9,2,10922.0,15,9860,0.756476684,62.0,7.668525422,Midwest,Small,Private,Low
Albertson College,Yes,587.0,479,158,23.0,62,678,41,13500.0,3335.0,500,675,67.0,73.0,13.6,11,9727.0,55,18010,0.816013629,60.6,35.37698296,West,Small,Religious,Low
Albertus Magnus College,Yes,353.0,340,103,17.0,45,416,230,13290.0,5720.0,500,1500,90.0,93.0,11.5,26,8861.0,63,21010,0.963172805,76.6,50.72573364,Midwest,Small,Public,Medium
Albion College,Yes,1899.0,1720,489,37.0,68,1594,32,13868.0,4826.0,450,850,89.0,100.0,13.7,37,11487.0,73,19994,0.905739863,83.0,52.75144973,Northeast,Small,Private,Medium
Albright College,Yes,1038.0,839,227,30.0,63,973,306,15595.0,4400.0,300,500,79.0,84.0,11.3,23,11644.0,80,20795,0.808285164,71.2,54.94133099,Northeast,Small,Private,High
Alderson-Broaddus College,Yes,582.0,498,172,21.0,44,799,78,10468.0,3380.0,660,1800,40.0,41.0,11.5,15,8991.0,52,16308,0.855670103,36.6,38.89359721,Northeast,Small,Private,Low
Alfred University,Yes,1732.0,1425,472,37.0,75,1830,110,16548.0,5406.0,500,600,82.0,88.0,11.3,31,10932.0,73,23054,0.822748268,75.4,40.56403826,Northeast,Small,Public,Medium
Allegheny College,Yes,2652.0,1900,484,44.0,77,1707,44,17080.0,4440.0,400,600,73.0,91.0,9.9,41,11711.0,76,22520,0.716440422,74.4,52.98433205,South,Small,Public,High
Allentown Coll. of St. Francis de Sales,Yes,1179.0,780,290,38.0,64,1130,638,9690.0,4785.0,600,1000,60.0,84.0,13.3,21,7940.0,74,16075,0.661577608,65.2,61.78757089,Midwest,Small,Public,Medium
Alma College,Yes,1267.0,1080,385,44.0,73,1306,28,12572.0,4552.0,400,400,75.0,87.0,15.3,32,9305.0,68,17924,0.852407261,73.6,48.26173253,Midwest,Small,Private,Medium
Alverno College,Yes,494.0,313,157,23.0,46,1317,1235,9998.0,3640.0,650,2449,36.0,69.0,11.1,26,8127.0,55,6739,0.633603239,46.6,38.83956585,West,Small,Private,Low
American International College,Yes,1420.0,1093,220,9.0,22,1018,287,8700.0,4780.0,450,1400,78.0,84.0,14.7,19,7355.0,69,15330,0.76971831,66.6,51.0406419,South,Small,Public,Medium
Amherst College,Yes,4302.0,992,418,83.0,96,1593,5,19760.0,4200.0,660,1598,93.0,98.0,8.4,63,21424.0,100,22018,0.230590423,93.0,74.47802622,Northeast,Small,Public,Elite
Anderson University,Yes,1216.0,908,423,19.0,40,1819,281,10100.0,3520.0,550,1100,48.0,61.0,12.1,14,7994.0,59,15270,0.746710526,47.4,31.31266654,Midwest,Small,Religious,Low
Andrews University,Yes,1130.0,704,322,14.0,23,1586,326,9996.0,3090.0,900,1320,62.0,66.0,11.5,18,10908.0,46,15306,0.62300885,54.0,23.78836759,Midwest,Small,Public,Low
Angelo State University,No,3540.0,2001,1016,24.0,54,4190,1512,5130.0,3592.0,500,2000,60.0,62.0,23.1,5,4010.0,34,11222,0.565254237,53.6,24.85145646,West,Medium,Public,Low
Antioch University,Yes,713.0,661,252,25.0,44,712,23,15476.0,3336.0,400,1100,69.0,82.0,11.3,35,42926.0,48,20312,0.927068724,65.4,30.02561719,Midwest,Small,Private,Low
Appalachian State University,No,7313.0,4664,1910,20.0,63,9940,1035,6806.0,2540.0,96,2000,83.0,96.0,18.3,14,5854.0,70,11442,0.637768358,75.6,55.56012631,Northeast,Large,Public,Medium
